,校碼,序號,學校名稱,系組名稱,學測檢定標準,,,,,,英聽檢定標準,採計科目及加權,,,,,,,,,,,,,,,,,,,,,,,
dep_id,,,,,國文,英文,數學A,數學B,社會,自然,,數學甲,物理,化學,生物,歷史,地理,公民,國文,英文,數學A,數學B,社會,自然,,,,,,,,,,,
00125,001,34,國立臺灣大學            ,化學工程學系,,,頂標,,,,,1.25 ,1.25 ,1.25 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
00126,001,35,國立臺灣大學            ,工程科學及海洋工程學系,,,,,,均標,,2.00 ,2.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
00133,001,36,國立臺灣大學            ,材料科學與工程學系,,,頂標,,,,,1.00 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
00143,001,37,國立臺灣大學            ,醫學工程學系,,,頂標,,,,,1.00 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
00151,001,38,國立臺灣大學            ,農藝學系,,均標,,,,,,1.00 ,0.00 ,1.25 ,1.25 ,0.00 ,0.00 ,0.00 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
00129,001,39,國立臺灣大學            ,生物環境系統工程學系,,前標,,,,頂標,,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,,,,,,,,,,
00148,001,40,國立臺灣大學            ,農業化學系,,,,,,,,1.00 ,1.00 ,1.50 ,1.50 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
00142,001,41,國立臺灣大學            ,森林環境暨資源學系,前標,前標,,,,,,1.00 ,1.50 ,1.50 ,2.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
00162,001,42,國立臺灣大學            ,動物科學技術學系,,,,,,,,1.00 ,1.00 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
00150,001,43,國立臺灣大學            ,農業經濟學系,,均標,,,,均標,,2.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,1.00 ,0.00 ,0.00 ,2.00 ,0.00 ,,,,,,,,,,
00147,001,44,國立臺灣大學            ,園藝暨景觀學系,均標,均標,,,,,,0.00 ,0.00 ,1.00 ,1.50 ,0.00 ,0.00 ,0.00 ,1.00 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
00152,001,45,國立臺灣大學            ,獸醫學系,前標,,,,,前標,,1.00 ,0.00 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
00163,001,46,國立臺灣大學            ,生物產業傳播暨發展學系,,,,,,,,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,1.00 ,0.00 ,1.50 ,1.50 ,0.00 ,1.50 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
00130,001,47,國立臺灣大學            ,生物機電工程學系,均標,均標,,,,,,1.00 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
00161,001,48,國立臺灣大學            ,昆蟲學系,,前標,,,,,,1.00 ,1.00 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
00146,001,49,國立臺灣大學            ,植物病理與微生物學系,前標,前標,,,,,,1.00 ,0.00 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
00120,001,50,國立臺灣大學            ,工商管理學系企業管理組A組,,,,,,,,1.00 ,0.00 ,0.00 ,0.00 ,1.00 ,1.00 ,0.00 ,0.00 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
00171,001,51,國立臺灣大學            ,工商管理學系企業管理組B組,,,,,,,,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,1.00 ,1.00 ,0.00 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
00124,001,52,國立臺灣大學            ,工商管理學系科技管理組,,,,,,,,1.00 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
00122,001,53,國立臺灣大學            ,會計學系A組,,,,,,,,1.50 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,1.50 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
00170,001,54,國立臺灣大學            ,會計學系B組,,,前標,,,,,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,1.00 ,1.25 ,1.50 ,1.25 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
00102,001,55,國立臺灣大學            ,財務金融學系A組,,,前標,,,,,2.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,1.50 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
00166,001,56,國立臺灣大學            ,財務金融學系B組,,,前標,,,,,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,1.00 ,1.00 ,0.00 ,1.50 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
00121,001,57,國立臺灣大學            ,國際企業學系A組,,,前標,,,,,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,2.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
00172,001,58,國立臺灣大學            ,國際企業學系B組,,,,,,,,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,1.00 ,1.00 ,0.00 ,2.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
00128,001,59,國立臺灣大學            ,資訊管理學系,,前標,,,,,,1.50 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
00101,001,60,國立臺灣大學            ,公共衛生學系A組,,,,,,,,1.25 ,1.00 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.25 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
